city,title,url
City of Toronto,Senior Data Analyst (Data Science and Visualization),https://jobs.toronto.ca/jobsatcity/job/Toronto-Senior-Data-Analyst-%28Data-Science-and-Visualization%29-ON-M5V-3C6/592314317/
City of Toronto,BUSINESS & FINANCIAL ANALYST (PROCUREMENT),https://jobs.toronto.ca/jobsatcity/job/Toronto-BUSINESS-&-FINANCIAL-ANALYST-%28PROCUREMENT%29-ON-M5V-3C6/592258117/
City of London,Policy & Program Analyst-C1441,https://careers.london.ca/job/London-Policy-&-Program-Analyst-C1441-ON/592192317/
City of London,Financial Analyst,https://careers.london.ca/job/London-Financial-Analyst-ON/589024317/
Halton Region,Cybersecurity Specialist - SCADA,https://careers.halton.ca/job/56B-Halton-Regional-Centre-Cybersecurity-Specialist-SCADA-56B/589251917/
Halton Region,Analyst - Accounting & Commodity Tax,https://careers.halton.ca/job/28-Halton-Regional-Centre-Analyst-Accounting-&-Commodity-Tax-28/592179317/
Halton Region,Waste Management Data Analyst,https://careers.halton.ca/job/39-Halton-Waste-Management-S-Waste-Management-Data-Analyst-39/592092817/
Region of Waterloo,Transit Systems Administrator,https://careers.regionofwaterloo.ca/RoW/job/Kitchener-Transit-Systems-Administrator-ON/592057917/
Region of Waterloo,OT and Industrial Network Cybersecurity Specialist (Water and Wastewater),https://careers.regionofwaterloo.ca/RoW/job/Kitchener-OT-and-Industrial-Network-Cybersecurity-Specialist-%28Water-and-Wastewater%29-ON/592015617/
Region of Waterloo,SCADA & Information System Analyst (Water),https://careers.regionofwaterloo.ca/RoW/job/Kitchener-SCADA-&-Information-System-Analyst-%28Water%29-ON/591145417/
